customer_id,date_registered,gender,employer,job,age,birth_year,salary_range
24c9d2d0-d0d3-4a90-9a3a-e00e4aac99bd,2021-09-29,M,"Byrd, Welch and Holt",Chief Technology Officer,49,1978,30k-60k
7b2bc220-0296-4914-ba46-d6cc6a55a62a,2019-08-17,F,Hurst PLC,Data scientist,43,1970,60k-90k
06febdf9-07fb-4a1b-87d7-a5f97d9a5faf,2019-11-01,M,"Mora, Caldwell and Guerrero",Chief Operating Officer,47,2009,150k+
23df88e5-5dd3-46af-ac0d-0c6bd92e4b96,2021-12-31,F,Patel PLC,Counselling psychologist,34,1992,90k-120k
6069c2d7-7905-4993-a155-64f6aba143b1,2020-08-09,F,Smith-Mejia,Mining engineer,57,1989,90k-120k
aee2c6aa-c9a4-488c-9e10-6a09dbe2f199,2021-12-29,M,"Wolf, Perez and Bryant",Civil Service administrator,49,1935,30k-60k
4d52c646-8cc7-4935-9119-130be16518ba,2019-09-13,F,"Kim, Lucero and Brown",Fast food restaurant manager,59,1981,150k+
2a8e2be0-7e41-4a56-9092-7a6258e4d5a1,2021-10-06,F,Chavez-Patterson,"Editor, magazine features",52,1923,60k-90k
906fc563-00bb-4974-9e8a-d3d97608ad64,2021-11-01,F,Watson-Park,Patent examiner,65,2001,150k+
44f14da1-5b00-4b6a-bfe4-5be67a4b2521,2020-04-01,F,Forbes-Richards,Sports coach,22,1931,90k-120k
0a657d74-2476-4381-a98a-bffa72149a43,2021-08-21,M,Cummings-Clayton,Claims inspector/assessor,46,1909,60k-90k
d1aa82a1-617d-48cf-b2e9-c89174d537b8,2021-08-22,F,Jordan-Webb,Comptroller,36,1960,120k-150k
56c75862-4729-4cb6-8b58-a96ac2c811e0,2019-07-18,M,"Porter, Espinoza and Osborne",Building control surveyor,61,1996,60k-90k
ed0f8007-ec29-481b-bca7-bbd7736624d0,2020-07-01,M,"Mcdonald, Lucero and Lewis",Operations geologist,30,1999,90k-120k
27bc967a-42c5-4576-9356-f9713ee98765,2022-05-09,M,Fitzpatrick and Sons,Passenger transport manager,60,1928,120k-150k
a13e6d8a-1b1a-4803-af7e-f646d486773e,2022-06-21,F,"Clark, Giles and Bennett",Commissioning editor,27,1929,90k-120k
40eba54a-a028-4397-8729-b53df9c2b114,2019-08-24,F,"Brown, Goodman and Thompson",Company secretary,50,1993,30k-60k
0d206e0c-2641-4a08-be21-ed5e5d1c384a,2021-08-18,F,Thompson Group,Pensions consultant,49,2014,<30k
956039c6-6276-4034-9074-7b2d4a3d204d,2020-04-25,M,Curry Inc,English as a foreign language teacher,37,1950,150k+
6b6207fd-7226-49ae-a1c7-2bd1118383ee,2019-10-14,M,"Stevens, Torres and Baldwin","Surveyor, mining",41,2014,150k+
4f18395b-b0e4-440b-82dd-2c356a9fbf58,2020-09-17,M,Carroll-Johnson,Regulatory affairs officer,52,1962,90k-120k
52980958-5053-4faa-9e9f-562734bf7cfc,2020-02-23,F,Johnson Ltd,Sales promotion account executive,39,1988,<30k
eb129918-b2b7-4113-9887-199f402476a6,2022-01-25,M,Mills and Sons,"Programme researcher, broadcasting/film/video",21,1948,30k-60k
7fd45b4b-7498-455c-9a92-778dcfe26964,2019-11-15,M,Salazar Ltd,Barista,36,1992,120k-150k
24df512e-4d26-4ea5-9cd3-784c3b8e8b94,2022-06-01,F,"Harris, Carter and Turner",Personnel officer,52,1978,90k-120k
